L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ປະຕູ,/pa˦˥ tuː˩˧/,"door, gate; arch, entry",,
ປະທີບ,/pa˦˥ tʰiːt˥˧/,"candle, lamp, light",,
ປະເທດເຂດເມືອງ,/pa.tʰêːt.kʰe᷆ːt.mɯ́aŋ/,"country, state",,
ປະພັນ,/pa˦˥ pʰan˦˥/,poetry,,
ປະເພນີ,/pa˦˥ pʰeː˦˥ niː˦˥/,"custom, tradition",,
ປະໂຫຍກ,/paʔ˦˥ ɲoːk˨˩/,(grammar) sentence,,
ປາ,/pa᷅ː/,to throw at,,
ປາ,/pa᷅ː/,fish,,
ປາ,/pa᷅ː/,fish,,
ປ່າ,/paː˧˧/,"forest, woods, jungle, wilderness",,
ປ່າ,/paː˧˧/,wild,,
ປາກເປົ່າ,/paːk˨˩ pau˧˧/,to recite,,
ປາກເປົ່າ,/paːk˨˩ pau˧˧/,"oral, spoken",,
ປາແດກ,/paː˩˧ dɛːk˧˩/,"padaek, Lao fish sauce (condiment made from pickled",,
ປາລີ,/paː˩˨ liː˦˥/,Paris (the capital city of France),,
ປີ,/piː˩˨/,year,,
ປີ,/piː˩˨/,banana blossom,,
ປີ,/piː˩˨/,banana blossom,,
ປີໃໝ່,/piː˩˨ mai˧˧/,(Lao) New Year,,
ປຶ້ມ,/pɯm˥˦/,book,,
ເປັນ,/pen˩˨/,"(copulative, transitive) to be; to become, get, (intransitive)",,
ເປັນຫຍັງ,/pen˩˧ ɲaŋ˩˧/,(interrogative) why?; what?,,
ແປດ,/pɛːt˨˩/,eight,,
ແປະ,/pɛʔ˥˦/,near,,
ຜັກທຽມ,/pʰak˦˥ tʰiam˦˥/,garlic,,
ຜີ,/pʰiː˩˧/,"spirit, demon, ghost",,
ຜີຕອງເຫຼືອງ,/pʰiː˩˧ tɔːŋ˩˧ lɯaŋ˩˧/,the Mlabri,,
ຜູ້,/pʰuː˨˩/,"person, (as a suffix) used with animals to indicate",,
ຜູ້ຍິງ,/pʰuː˨˩ ɲiŋ˦˥/,woman,,
ຜູ້ຍິງຮັກຜູ້ຍິງ,/pʰuː˨˩ ɲiŋ˦˥ hak˧˧ pʰuː˨˩ ɲiŋ˦˥/,lesbian,,
