L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
얄룹다,/ja̠ɭɭup̚t͈a̠/,(to be) thin,,
양,[ja̠ŋ],yes,,
양,[ja̠ŋ],"sheep, goat, Synonym: 염쉐 (yeomswe)",,
양,[ja̠ŋ],"sheep, goat, Synonym: 염쉐 (yeomswe)",,
어ᇝ,/ʌms/,"Suffix indicating the continuous aspect of a verb not in the past tense. For action verbs, it is largely equivalent to English ""is... ing""; for stative verbs/adjectives, it has an inchoative meaning equivalent to ""to become...; to begin to be..."".",,
어그네,[əɡɨne̞],and then,,
어덕,/ədək̚/,A sea where stones are placed in between the inland sea and the offing,,
어러러,/əɾəɾə/,hup!,,
어멍,/əməŋ/,"mother
Synonym: (honorific) 어멤 (eomem)
Coordinate term: 아방 (abang)",,
어시,/əʃi/,parent; parents,,
어시닮다,/əʃida̠mt͈a̠/,This term needs a translation to English. Please help,,
얼다,/əɭda/,to be cold,,
얼다,/əɭda/,to freeze,,
엄벙덤벙,/əmbəŋdəmbəŋ/,"carelessly, thoughtlessly",,
엇다,/ət̚t͈a̠/,to have none; (to be) lacking; (to be) nonexistent,,
에비아ᄃᆞᆯ,/e̞bia̠dɒɭ/,"father and son, Coordinate term: 에비ᄄᆞᆯ (ebittawl)",,
여시,/jəʃi/,"fox, vixen",,
여이다,/jəida̠/,thirsty,,
여재,/jəd͡ʑæ/,woman; girl; lady; female,,
여조케,/jəd͡ʑo̞kʰe̞/,niece,,
여헹,/jəɦe̞ŋ/,"travel, journey, trip, voyage",,
연기,/jənɡi/,"contact, connection, liaison",,
열,/jəɭ/,"ten
Synonym: (Sino-Korean) 십 (sip)",,
열흘,/jəɾɦɨɭ/,ten days,,
예관,/je̞ɡwa̠n/,"inn, motel, hotel",,
예놈,/je̞no̞m/,(derogatory) a Jap,,
예숙제낄락,/je̞sʰuk̚t͡ɕ͈e̞k͈iɭɭa̠k̚/,quiz,,
오널,⫽onəl⫽,"today; this day, 오널은 ᄎᆞᄋᆢᆺ쉐마씸oneor-eun chawyawtswe-massimToday",,
오널,⫽onəl⫽,"today, 오널은 나가 할망칩이 갓수다.Oneor-eun na-ga halmangchib-i",,
오름,/o̞ɾɨm/,"mountain, Synonym: 산 (san)",,
오메기술,/o̞me̞ɡisʰuɭ/,millet wine,,
오수매,/o̞sumæ/,a five year-old horse,,
오월,/o̞wəɭ/,May,,
올히,⫽olhi⫽,the current year; this year,,
올히,⫽olhi⫽,duck,,
올히,⫽olhi⫽,duck,,
옺,[o̞t̚],(Seogwipo) cucumber,,
와,[wa̠],An expression of surprise or amazement.,,
와당,/wa̠da̠ŋ/,"Alternative form of 바당 (badang, “sea, ocean”)",,
왕할망,/wa̠ŋɦa̠ɭma̠ŋ/,Father of one's great-grandmother,,
왜ᄀᆞᆫ장,[wæɡɒnd͡ʑa̠ŋ],Japanese soy sauce,,
왜국,/wɛɡuk̚/,(obsolete) Japan,,
요왕,/jo̞wa̠ŋ/,(mythology) Dragon King (the god of water and weather),,
우게,[uɡe̞],"a declarative suffix, used to report new information; restricted to inflected verbs.
ᄎᆞᆯ레 멩글앗우게.chawlle menggeurasuge.I have made side dishes.",,
우꿰,/uk͈we̞/,"a declarative suffix, used to report new information or an opinion.
짚우우꿰.jip-uu-kkwe.It is deep.",,
우리,/uɾi/,"we, us, our, (when referring to one's own family members)",,
우리나라,/uɾina̠ɾa̠/,motherland,,
우투,/utʰu/,overcoat,,
웃드르,/ut̚t͈ɨɾɨ/,A mountainous area,,
워립,/wəɾip̚/,A cow that was born and raised naturally in the mountains.,,
원셍이,/wənse̞ŋi/,"monkey, ape",,
웨곳ᄊᆞᆯ,/we̞ɡo̞ss͈ɒɭ/,"white rice without mixed grains
좁ᄊᆞᆯ이 안 들어간 웨곳ᄊᆞᆯ을 먹으민 좋으켜.jopssawri an deureogan wegosssawreul meogeumin joheukyeoIt would be good to eat white rice without mixed grains, without millet.",,
웨국,/we̞ɡuk̚/,(derogatory) Japan,,
웨국,/we̞ɡuk̚/,foreign country,,
웨국,/we̞ɡuk̚/,foreign country,,
웨하르방,/we̞ha̠ɾɨba̠ŋ/,maternal grandfather,,
웽이,/we̞ŋi/,"mouse, rat",,
유월,[juwəɭ],June,,
육수매,/juk̚s͈umæ/,a six year-old horse,,
으남지다,/ɨna̠md͡ʑida̠/,"to be misty; foggy
온 제주도 바당이 으남지어 불어.on jeju-do badang-i eunamjieo bureo.The whole Jeju-do sea swells like fog.",,
으라,[ɨɾa̠],"(formal) a plain style imperative ending, 먹으라! ― meogeura!",,
으룬,/ɨɾun/,"grownup, adult, elder, senior",,
으멍,/ɨməŋ/,"though, yet, notwithstanding, in spite of, for[with] all",,
으쿠다,[ɨkʰuda̠],a suffix indicating intention will; intend,,
음막ᄒᆞ다,/ɨmma̠kʰɒda̠/,to swallow quickly,,
음묵,/ɨmmuk̚/,(anatomy) vagina,,
의염의염,/ɰijəmɰijəm/,"every nook and corner, everywhere",,
이,/i/,two,,
이,/i/,this,,
이,/i/,this,,
이ᄉᆞ,/isʰɒ/,moving (from one residence to another),,
