L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
dergeh,/dɛɾˈɡɛh/,"gate, door, entrance, egress",,
derhêner,/dɛɾheːˈnɛɾ/,producer,,
derzî,/dɛɾˈziː/,needle,,
derî,-iː,door,*dwā́ram,ˈæstɚɹˌɪsk dwˈɑː ɹˈæm
destan,/dɛsˈtɑːn/,"epic, poem, story",,
desthilat,/dɛsthɪˈlɑːt/,"power, authority",,
destnivîs,/dɛstnɪˈviːs/,manuscript,,
destpêk,/dɛstˤˈpˤeːkˤ/,start,,
destûr,/dɛsˈtˤuːɾ/,permission,,
dev,/dɛv/,mouth,,
dever,/dɛˈvɛɾ/,"place, spot",,
devkî,/dɛvˈkiː/,(spoken rather than written) oral,,
dewisandin,/dɛwɪsɑːnˈdɪn/,"to press, exert pressure on",,
dewlemend,/dɛwlɛˈmɛnd/,rich,,
dews,/dɛws/,"place, stead, trace, trail, footprint",,
dexalet,/dɛxɑːˈlɛt/,"refuge, asylum",,
dexl,/dɛxl/,"grains, cereals",,
deyndêr,/dɛjndeːɾ/,creditor,,
dezî,/dɛˈziː/,"thread, cotton",,
dibistan,/dɪbɪsˈtɑːn/,"school
Synonym: mekteb",,
digel,/dɪˈɡɛl/,with,,
dihî,/dɪˈhiː/,yesterday,,
dijdemokratîk,/dɪʒdɛmoːkɾɑːˈtiːk/,antidemocratic,,
dijmin,/dɪʒˈmɪn/,enemy,,
dijmirovî,/dɪʒmɪɾoːˈviː/,antihuman,,
dijwate,/dɪʒwɑːˈtɛ/,antonym,,
dijî,/dɪˈʒiː/,against,,
dikak,/dɪˈkɑːk/,"vegetables
Synonym: deramet",,
dilop,/dɪˈloːp/,drop (small mass of liquid),,
dilsozî,/dɪlsoːˈziː/,adherence,,
diltengî,/dɪltɛnˈɡiː/,narrow-mindedness,,
dilşewat,/dɪlʃɛˈwɑːt/,"sympathetic, compassionate, merciful, gentle",,
dinyalik,/dɪnjɑːˈlɪk/,"the whole world, all of humanity",,
diran,-ɑːn,tooth,,
diranî,/dɪɾɑːˈniː/,dental,,
dirav,-ɑːv,money,,
dirust,/dɪˈɾʊst/,"right, proper, correct, true",,
dirêj,/dɪˈɾeːʒ/,long,,
dirêş,/dɪˈɾeːʃ/,"awl, tool for poking holes in leather",,
dirî,/dɪˈɾiː/,thorn,,
Diyar,/dɪˈjɑːɾ/,A male given name,,
dizîkî,/dɪziːˈkiː/,"clandestine, in secret",,
dizîn,/dɪˈziːn/,to steal,,
diş,-ɪʃ,"the sister of one's spouse, sister-in-law",,
dolab,/doːˈlɑːb/,"cupboard, closet, cabinet",,
domandin,/doːmɑːnˈdɪn/,to continue,,
domiz,/doːˈmɪz/,pig,,
dotin,/doːˈtɪn/,to milk,,
dozgêr,/doːzˈɡeːɾ/,prosecutor,,
doşîn,/doːˈʃiːn/,to milk,,
duşem,/dʊˈʃɛm/,Monday,,
dê,/deː/,mother,,
dêdik,/deːˈdɪk/,spleen,,
dêl,/deːl/,tail,,
dêr,-eːɾ,"church, monastery",,
dêw,/deːw/,"demon, ogre",,
Dîcle,/diːd͡ʒˈlɛ/,the Tigris,,
dîk,-iːkˤ,"cock, rooster",,
dîn,/diːn/,"crazy, insane",,
Dîno,/diːˈnoː/,A male given name,,
dîrok,/diːˈɾoːk/,history,,
dîroknas,/diːɾoːkˈnɑːs/,historian,,
dîrokî,/diːɾoːˈkiː/,historic,,
dîsa,/diːˈsɑː/,again,,
dîtbar,[diːtbaːr],seeable,,
dîtin,/diːˈtɪn/,see,,
dîwar,-ɑːɾ,wall,,
dîyar,/diːˈjɑːɾ/,"hill, mound, knoll",,
dîz,/diːz/,"clay pot, earthenware pot",,
dû,-uː,smoke,,
dûr,/duːɾ/,"distant, far off",,
dûrbîn,/duːɾˈbiːn/,binoculars,,
ebedî,/ɛbɛˈdiː/,eternal,,
ecibandin,/ɛd͡ʒɪbɑːnˈdɪn/,to like,,
edalet,/ɛdɑːˈlɛt/,"justice, law (the body of rules and standards to be applied by courts)",,
edilandin,/ɛdɪlɑːnˈdɪn/,to fix,,
efendî,/ɛfɛnˈdiː/,"gentleman, Sir, mister",,
efsûnî,/ɛfsuːˈniː/,"magic, sorcery",,
ejdeha,/ɛʒdɛˈhɑː/,dragon,,
elmanî,/ɛlmɑːˈniː/,the German language,,
elmanî,/ɛlmɑːˈniː/,German (pertaining to Germany or the Germans),,
elok,-oːkˤ,turkey,,
em,-em,we; us (first-person plural personal pronoun),,
encam,-ɑːm,"result, end, conclusion",,
encumen,/ɛnd͡ʒʊˈmɛn/,"council, committee",,
endam,-ɑːm,member,,
enextar,/ɛnɛxˈtɑːɾ/,key (device designed to open and close a lock),,
engizandin,/ɛnɡɪzɑːnˈdɪn/,to incite,,
enî,-iː,forehead,,
epoksîd,/ɛpoːkˈsiːd/,(organic chemistry) epoxide,,
erdhej,[ɛɾdhɛʒ],earthquake,,
erotîk,/ɛɾoːˈtiːk/,erotic,,
erzan,-ɑːn,cheap,,
erê,/ɛˈɾeː/,yes,,
Evdê,/ɛvˈdeː/,A male given name,,
Evîn,/ɛˈviːn/,A female given name,,
evîn,-iːn,love,,
evîndar,/ɛviːnˈdɑːɾ/,lover,,
evîndar,/ɛviːnˈdɑːɾ/,(+ ezafe) in love with,,
evîndarî,/ɛviːndɑːˈɾiː/,"love, being in love",,
ewlehî,/ɛwlɛˈhiː/,"security, safety",,
ewr,/ɛwɾ/,cloud,,
ewrkirin,/ɛwɾkɪˈɾɪn/,obnubilation (veiling with or concealment in clouds),,
eylo,/ɛjˈloː/,"eagle, Synonym: qertel",,
eşq,/ɛʃq/,"love, passion, happiness",,
eşya,/ɛʃˈjɑː/,"thing, object, merchandise, wares, goods",,
eşîr,/ɛˈʃiːɾ/,tribe,,
Fadil,/fɑːˈdɪl/,A male given name,,
farisî,/fɑːɾɪˈsiː/,Persian (language),,
fehm,/fahəm/,intelligence,,
ferec,/fɛˈɾɛd͡ʒ/,"dawn, daybreak",,
ferfûr,/fɛɾˈfuːɾ/,"porcelain, chinaware, faïence",,
ferheng,/fɛɾˈhɛŋɡ/,"dictionary, Synonym: qamûs, culture",,
fermî,/fɛɾˈmiː/,official,,
fetisandin,/fɛtɪsɑːnˈdɪn/,(transitive) to choke,,
fikirîn,/fɪkɪˈɾiːn/,(intransitive) to think,,
filitîn,/fɪlɪˈtiːn/,to escape,,
firaq,/fɪˈɾɑːq/,"crock, vessel, large bowl, dishes, plates",,
